title,Directors,casts,nation,year,imdbID,douban_url,Rating,Review,WatchedDate
海街日记 / 海街diary,是枝裕和,绫濑遥 长泽雅美 夏帆 广濑铃 大竹忍 堤真一 加濑亮 风吹淳 中川雅也 前田旺志郎 铃木亮平 坂口健太郎 树木希林,日本,2015-05-14(戛纳电影节) 2015-06-13(日本),tt3756788,https://movie.douban.com/subject/25895901/,4,,2021-05-24
奇迹 / 奇跡,是枝裕和,前田航基 前田旺志郎 大塚宁宁 小田切让 夏川结衣 阿部宽 长泽雅美 原田芳雄 树木希林 桥爪功 桥本环奈 林凌雅 中村友理 内田伽罗,日本,2011-06-11(日本),tt1650453,https://movie.douban.com/subject/4832288/,5,,2021-05-24
夜与雾 / Nuit et brouillard,阿伦·雷乃,米歇尔·布凯,法国,,tt0048434,https://movie.douban.com/subject/1298270/,4,,2021-05-23
广岛之恋 / Hiroshima mon amour,阿伦·雷乃,埃玛妞·丽娃 冈田英次 贝尔纳·弗雷松 斯特拉·达萨斯 皮埃尔·巴尔博,法国 / 日本,1959-05-08(戛纳电影节) 1959-06-10(法国),tt0052893,https://movie.douban.com/subject/1302050/,4,,2021-05-23
面包店的女孩 / La boulangère de Monceau,埃里克·侯麦,巴贝特·施罗德 Claudine Soubrier 米歇尔·希哈董,法国,,tt0056884,https://movie.douban.com/subject/1394348/,3,,2021-05-23
四百击 / Les quatre cents coups,弗朗索瓦·特吕弗,让-皮埃尔·利奥德 克莱尔·莫里耶 阿尔贝·雷米 盖·德孔布勒 乔治·弗拉芒 弗朗索瓦·诺谢 塞尔热·莫阿蒂 Luc Andrieux Christian Brocard 克洛德·芒萨尔 雅克·莫诺 皮埃尔·勒普 亨利·维尔洛热 让-克洛德·布里亚利 让娜·莫罗 菲利普·德·布罗卡 雅克·德米 让·杜歇 让-吕克·戈达尔 Laure Paillette 弗朗索瓦·特吕弗,法国,1959-05-04(戛纳电影节) 1959-06-03(法国),tt0053198,https://movie.douban.com/subject/1300056/,5,,2021-05-23
八部半 / 8½,费德里科·费里尼,马塞洛·马斯楚安尼 克劳迪娅·卡汀娜 阿努克·艾梅 桑德拉·米洛 罗塞拉·法鲁克 芭芭拉·斯蒂尔 玛德琳·勒博 卡特丽娜·波拿托 埃达·盖尔 圭多·阿尔贝蒂 Mario Conocchia Bruno Agostini Cesarino Miceli Picardi Jean Rougeul 马里奥·皮苏 米诺·多罗 Nadia Sanders Georgia Simmons Rossella Como 马克贺伦 Marisa Colomber Neil Robinson Eugene Walter Gilda Dahlberg Francesco Rigamonti Giuditta Rissone 安尼巴莱·宁基 安东尼奥·阿夸 玛利亚·安东涅塔·贝卢齐 Mathilda Calnan 朱利奥·卡利 佛朗哥·卡拉乔洛 Olimpia Cavalli Sonia Gessner 约翰·卡尔森 Roberto Nicolosi 波利多尔 尼诺·罗塔 John Stacy 玛利亚·特德斯奇,意大利 / 法国,1963-02-16(意大利),tt0056801,https://movie.douban.com/subject/1361276/,4,,2021-05-23
周末 / Week End,让-吕克·戈达尔,米蕾叶·达尔克 让·雅南 琼-皮尔里·卡尔弗恩,法国 / 意大利,,tt0062480,https://movie.douban.com/subject/1296338/,4,,2021-05-23
女人就是女人 / Une femme est une femme,让-吕克·戈达尔,让-克洛德·布里亚利 安娜·卡里娜 让-保罗·贝尔蒙多 玛丽·杜布瓦 让娜·莫罗,法国 / 意大利,,tt0055572,https://movie.douban.com/subject/1293849/,4,,2021-05-23
法外之徒 / Bande à part,让-吕克·戈达尔,安娜·卡里娜 达妮埃尔·吉拉尔 路易莎·科尔佩恩 尚塔尔·达尔热 萨米·弗雷 克洛德·布拉瑟 Georges Staquet Ernest Menzer 让-克洛德·勒莫勒 米歇尔·德拉海耶 让-吕克·戈达尔 Monsieur Jojot 克洛德·马科夫斯基 Michèle Seghers,法国,,tt0057869,https://movie.douban.com/subject/1401588/,4,,2021-05-23
狂人皮埃罗 / Pierrot le fou,让-吕克·戈达尔,让-保罗·贝尔蒙多 安娜·卡里娜 贾泽拉·加瓦尼,法国 / 意大利,1965-08-29(威尼斯电影节) 1965-11-05(法国),tt0059592,https://movie.douban.com/subject/1292533/,5,,2021-05-23
精疲力尽 / À bout de souffle,让-吕克·戈达尔,珍·茜宝 让-保罗·贝尔蒙多 达尼埃尔·布朗热 亨利-雅克·于埃 罗杰·哈宁 范都德 克洛德·芒萨尔 莉莲·德莱弗斯 Michel Fabre 让-皮埃尔·梅尔维尔 让-吕克·戈达尔 里夏尔·巴尔杜奇 安德烈·S·拉巴尔特 弗朗索瓦·莫瑞尔 Jacques Lourcelles 热拉尔·布拉什 菲利普·德·布罗卡 José Bénazéraf 让·杜歇 雷蒙德·亨特利 Louiguy Guido Orlando 让-路易·里夏尔 Jacques Siclier,法国,1960-03-16(法国),tt0053472,https://movie.douban.com/subject/1353745/,4,,2021-05-23
七次机会 / Seven Chances,巴斯特·基顿,巴斯特·基顿 T.罗伊·巴尔内斯 辛兹·爱德华 露丝·德怀尔 弗朗西丝·雷蒙德 Erwin Connelly 朱尔斯·考尔斯 琪恩·亚瑟 Lori Bara Bartine Burkett Rosalind Byrne Louise Carver Doris Deane Hazel Deane Connie Evans Eugenia Gilbert Rosa Gore Marion Harlan 让·C·阿韦 Judy King 凯特·普莱斯 Julian Rivero 康斯坦斯·塔尔梅奇 S.D. Wilcox,美国,,tt0016332,https://movie.douban.com/subject/1300352/,4,,2021-05-23
安全至下 / Safety Last!,弗雷德·C·纽迈尔,哈罗德·劳埃德 米尔德丽德·戴维斯 比尔·斯特罗瑟 诺厄·扬 韦斯科特·克拉克 Roy Brooks Mickey Daniels Richard Daniels Ray Erlenborn William Gillespie Helen Gilmore Wallace Howe 杰姆斯-凯利 Gus Leonard Sam Lufkin 玛丽·莫斯奎尼 弗雷德·C·纽迈尔 查尔斯·史蒂文森 Anna Townsend,美国,,tt0014429,https://movie.douban.com/subject/1303388/,4,,2021-05-23
福尔摩斯二世 / Sherlock Jr.,巴斯特·基顿,巴斯特·基顿 凯瑟琳·麦奎尔 乔·基顿 Erwin Connelly Ward Crane Jane Connelly George Davis Doris Deane Christine Francis Betsy Ann Hisle 丘比·摩根 Steve Murphy John Patrick Ford West,美国,1924-04-21(美国),tt0015324,https://movie.douban.com/subject/1303408/,5,,2021-05-23
菊次郎的夏天 / 菊次郎の夏,北野武,北野武 关口雄介 岸本加世子 吉行和子 细川典江 大家由祐子 磨赤儿 铃木忠幸 井手博士 今村鼠 兼子二郎 田中要次 小岛可奈子,日本,1999-05-20(戛纳电影节) 1999-06-05(日本) 2020-09-25(中国大陆),tt0199683,https://movie.douban.com/subject/1293359/,5,,2021-05-23
情书 / Love Letter,岩井俊二,中山美穗 丰川悦司 酒井美纪 柏原崇 范文雀 篠原胜之 铃木庆一 田口智朗 加贺麻理子 光石研 铃木兰兰 盐见三省 中村久美 梅田凡乃 长田江身子  小栗香织 神户浩 酒井敏也 山口诗史 山崎一 德井优 武藤寿美,日本,1995-03-25(日本) 2021-05-20(中国大陆重映),tt0113703,https://movie.douban.com/subject/1292220/,4,,2021-05-23
生活大爆炸  第一季 / The Big Bang Theory Season 1,詹姆斯·伯罗斯,吉姆·帕森斯 约翰尼·盖尔克奇 凯莉·库柯 西蒙·赫尔伯格 昆瑙·内亚 莎拉·吉尔伯特 DJ·考尔斯 考特尼·海根勒 莎拉尤·拉奧 布鲁克·朵赛 布瑞恩韦德 马克·哈雷利克,美国,2007-09-24(美国),tt0898266,https://movie.douban.com/subject/2156528/,4,,2021-05-22
悬崖之上,张艺谋,张译 于和伟 秦海璐 朱亚文 刘浩存 倪大红 李乃文 余皑磊 飞凡 雷佳音 沙溢 韩昊霖 赵毅,中国大陆 / 中国香港,2021-04-30(中国大陆),tt1144807,https://movie.douban.com/subject/32493124/,3,,2021-04-28
