Title,Rating,WatchedDate,Review,Year,Nation,douban_link,imdbId
活着,5,2018/11/16,,1994/5/17,戛纳电影节,https://movie.douban.com/subject/1292365/,tt0110081
十二怒汉 / 12 Angry Men,5,2018/11/16,,1957/4/13,美国,https://movie.douban.com/subject/1293182/,tt0050083
肖申克的救赎 / The Shawshank Redemption,5,2018/11/16,自由,1994/9/10,多伦多电影节,https://movie.douban.com/subject/1292052/,tt0111161
辛德勒的名单 / Schindler's List,5,2018/11/16,,1993/11/30,华盛顿首映,https://movie.douban.com/subject/1295124/,tt0108052
这个杀手不太冷 / Léon,5,2018/11/16,,1994/9/14,法国,https://movie.douban.com/subject/1295644/,tt0110413
阿甘正传 / Forrest Gump,5,2018/11/16,,1994/6/23,洛杉矶首映,https://movie.douban.com/subject/1292720/,tt0109830
当幸福来敲门 / The Pursuit of Happyness,5,2018/11/16,感动,2006/12/15,美国,https://movie.douban.com/subject/1849031/,tt0454921
贫民窟的百万富翁 / Slumdog Millionaire,4,2018/11/16,,2008/8/30,特柳赖德电影节,https://movie.douban.com/subject/2209573/,tt1010048
放牛班的春天 / Les choristes,5,2018/11/16,,2004/3/17,法国,https://movie.douban.com/subject/1291549/,tt0372824
怦然心动 / Flipped,5,2018/11/16,,2010/7/26,好莱坞首映,https://movie.douban.com/subject/3319755/,tt0817177
穿普拉达的女王 / The Devil Wears Prada,4,2018/11/16,,2006/6/30,美国,https://movie.douban.com/subject/1482072/,tt0458352
我的野蛮女友 / 엽기적인 그녀,5,2018/11/16,,2001/7/27,韩国,https://movie.douban.com/subject/1292286/,tt0293715
死侍2：我爱我家 / Deadpool 2,4,2018/11/16,,2018/5/18,美国,https://movie.douban.com/subject/26588308/,tt5463162
死侍 / Deadpool,3,2018/11/16,,2016/2/12,美国,https://movie.douban.com/subject/3718279/,tt1431045
地下交通站,5,2018/11/16,现在已经没有这样的情景喜剧了吧。家有儿女，闲人马大姐，东北一家人，炊事班的故事。贾贵，真的是整个东亚，都再也找不出一张这样的脸了。不过最喜欢的还是黄队长，那小得意的表情，绝了。,2007/5/6,中国大陆,https://movie.douban.com/subject/2133474/,
火蓝刀锋,5,2018/11/16,虽然这部剧剧情，特效不怎么样，但人物刻画是真的到位。,2012/9/29,中国大陆,https://movie.douban.com/subject/10566537/,
江湖儿女,3,2018/11/16,,2018/5/11,戛纳电影节,https://movie.douban.com/subject/26972258/,tt7298400
战狼2,1,2018/11/15,被迫害妄想症咋那么强呢。直男癌有多恐怖。(2 有用),2017/7/27,中国大陆,https://movie.douban.com/subject/26363254/,tt7131870
血观音 / 血觀音,4,2018/11/3,,2017/10/15,釜山电影节,https://movie.douban.com/subject/27113517/,tt7479784
碟中谍6：全面瓦解 / Mission: Impossible - Fallout,4,2018/9/19,刺激,2018/7/27,美国,https://movie.douban.com/subject/26336252/,tt4912910
光辉岁月 / Remember the Titans,4,2018/9/19,,2000/9/29,美国,https://movie.douban.com/subject/1292943/,tt0210945
无人知晓 / 誰も知らない,5,2018/8/5,,2004/5/13,戛纳电影节,https://movie.douban.com/subject/1292337/,tt0408664
后来的我们,2,2018/7/15,,2018/4/28,中国大陆,https://movie.douban.com/subject/26683723/,tt8033592
超时空同居,4,2018/7/5,,2018/5/18,中国大陆,https://movie.douban.com/subject/27133303/,tt8404272
我不是药神,4,2018/7/5,程勇被张长林举报，警察来搜查，他因害怕被抓将代理权给了张长林。这没什么好羞愧的。身旁的人根本没权利去指责他。后来他又因为羞愧，开始卖药，还以500块的价格卖进价2000的药。这点羞愧还不值得他这样对待这群和他不相干的人。电影总体值得赞赏。,2018/6/30,大规模点映,https://movie.douban.com/subject/26752088/,tt7362036
如父如子 / そして父になる,5,2018/5/31,,2013/9/28,日本,https://movie.douban.com/subject/10571509/,tt2331143
蜘蛛侠：英雄归来 / Spider-Man: Homecoming,3,2018/5/31,,2017/6/28,洛杉矶首映,https://movie.douban.com/subject/24753477/,tt2250912
暴裂无声,4,2018/5/31,,2017/7/27,FIRST青年影展,https://movie.douban.com/subject/26647117/,tt6389316
暴雪将至,3,2018/5/23,,2017/10/29,东京电影节,https://movie.douban.com/subject/26775933/,tt7649320
